,term,sum_weights
994,credit,406.6740241130912
350,accounts,338.24450692011607
346,account,298.5743958260287
2653,report,298.2324071117314
1746,information,232.94845135149367
2658,reporting,203.00016545715442
1675,identity,160.83542190548368
3085,theft,156.3271990758522
2634,remove,148.63459338666465
1495,fraudulent,142.89957211657665
1820,items,128.6530995498501
1710,inaccurate,116.3469576000123
2221,opened,114.21475113351416
2635,removed,109.45066250324872
3284,victim,105.70197927739243
1856,late,105.21492418015764
1434,file,102.63131932834202
677,bureaus,98.72223088935363
594,balance,97.62507246054216
1141,did,95.623694321167
915,consumer,89.7265044636413
1765,inquiries,87.35127454011773
622,belong,83.45215174753423
1041,debt,83.03599905371316
837,company,81.25975169086644
2220,open,81.22576079047903
1926,listed,81.09688291672133
809,collection,81.07331998671107
2654,reported,80.59819489888586
2295,payment,79.19727497601993
3109,time,79.02527348359956
2270,paid,78.65030657193293
1357,experian,78.00437530282386
702,card,76.20774456680446
1184,dispute,74.35899797830957
1940,loan,73.24245235264215
2318,personal,72.40530680964044
1468,following,69.77989835203347
2535,received,69.66366701547584
2660,reports,67.76788662248393
2130,need,66.10533002433932
2173,number,64.59494152507486
1021,date,64.27364115376564
2296,payments,63.99843957442486
1494,fraud,63.29819054994588
1892,letter,61.485761174026756
2473,pulled,61.31134876479991
1509,ftc,61.28568850838776
1725,incorrect,60.63404596025353
1205,does,59.89988759925267
2806,section,58.927253962911635
2825,sent,57.85280053281969
3207,unknown,56.16336643830908
836,companies,55.94344142926257
601,bankruptcy,55.91682714017664
1304,equifax,55.194945546708205
2353,police,55.08233248711276
921,contacted,55.01885256692701
3386,years,54.94861515831096
3118,told,53.956105394821904
1912,like,53.69339904046833
1026,days,52.81655222853523
2368,possible,52.790300491273456
2672,request,52.491744099014724
546,attached,52.376576822932904
3149,transunion,52.14580977087413
1185,disputed,52.07989629906025
1087,deleted,52.04092548825862
2859,showing,51.99424311468792
753,charge,51.49102702174372
85,2020,51.451976055079854
433,agency,50.93302110995102
370,act,50.89211638316991
2796,score,50.86145495719341
388,address,50.49919663580255
2164,noticed,50.042564415346035
1435,filed,50.03119514975449
795,closed,49.83601482200449
2907,soon,49.45423095839888
3112,times,49.294857389644726
2746,reviewed,49.27891923223473
951,copy,49.21581501102161
1844,knowledge,49.187932246973155
1690,immediately,49.15206398039499
1117,derogatory,48.78749607792169
2539,recently,48.56276147762359
2892,social,48.131211190309514
352,acct,48.067960794779665
1086,delete,46.94632164841333
957,correct,46.93767632626265
1391,fair,46.84540198899997
1766,inquiry,46.65779879960335
2810,security,46.4416476502899
2134,negative,45.54785674375853
2210,oh,45.53909924910246
2240,original,44.92285942426976
3166,trying,44.5330579365109
494,applied,44.33082992146615
1416,fcra,43.79370080132287
846,complaint,43.75632298408044
432,agencies,43.184626799980514
597,bank,42.64326158321118
2429,profile,42.17389220578214
645,block,42.08419380517274
1800,investigation,41.50321082210537
997,creditor,41.06804392595771
2145,new,41.0216370757975
1611,help,40.43305890595334
1987,make,40.07640880171342
122,30,39.83468415540239
568,authorize,39.450105945200136
691,called,39.44353069213479
2447,proof,39.231711213211874
3093,things,39.16045695530809
3240,used,38.9538857028465
2728,result,38.87319235751328
1818,item,38.47712245141077
3293,violation,38.38367398607969
355,accurate,38.24051420156153
1941,loans,38.22932791556756
780,claim,38.00509838461154
1204,documents,37.88380149330541
2674,requesting,37.66298868871106
2245,outdated,37.4237891147176
1841,know,37.379323193802925
1398,false,37.31435014071118
84,2019,37.268821886301524
978,couple,36.53179625746926
2836,services,36.15761780539187
390,addresses,35.902566906216705
2999,submitted,35.62474201860723
2012,matter,34.75804391241692
2102,mortgage,34.67717371816871
1635,home,34.20352923383632
2461,provided,33.76408812752152
2163,notice,33.710654082037905
1050,decided,33.60544063373599
18,12,33.31736327670295
1975,mail,33.27829195877387
2951,statement,33.120674029808775
2288,past,33.056206045788464
2716,response,32.87021184318087
2133,needs,32.646382974690425
1104,denied,32.63444933163402
676,bureau,32.554140829497705
2954,stating,32.50649458138277
1893,letters,32.505297670514516
2290,pay,32.31642139654538
3276,verified,32.171761987307505
2586,regarding,31.983446377993907
1211,don,31.751240520045812
1556,got,31.698806491916574
2608,relate,31.62629772610401
3266,ve,31.54281347288265
3322,way,31.497936897073334
569,authorized,31.30282029510679
2772,said,31.2314752729298
